task,method,n_seeds,level,mean,std
can,CL-SFP+i,3,0,0.9467,0.0153
can,CL-SFP+i,3,0.1,0.9400,0.0361
can,CL-SFP+i,3,0.25,0.9233,0.0379
can,CL-SFP+i,3,0.3,0.9200,0.0265
can,CL-SFP+i,3,0.5,0.8767,0.0416
can,CL-SFP+i,3,0.75,0.7467,0.0764
can,CL-SFP+i,3,1,0.5433,0.1266
can,CL-SFP+i,3,1.25,0.3300,0.1400
can,CL-SFP+i,3,1.5,0.1633,0.0833
square,SFP,3,0,0.7500,0.0200
square,SFP,3,0.1,0.7033,0.0306
square,SFP,3,0.25,0.6900,0.0200
square,SFP,3,0.3,0.6333,0.0231
square,SFP,3,0.5,0.4167,0.0153
square,SFP,3,0.75,0.2500,0.0346
square,SFP,3,1,0.1167,0.0153
square,SFP,3,1.25,0.0800,0.0265
square,SFP,3,1.5,0.0467,0.0208
square,SFP-ah4,3,0,0.7467,0.0208
square,SFP-ah4,3,0.1,0.7200,0.0529
square,SFP-ah4,3,0.25,0.6400,0.0361
square,SFP-ah4,3,0.3,0.5900,0.0361
square,SFP-ah4,3,0.5,0.4433,0.0451
square,SFP-ah4,3,0.75,0.3033,0.0321
square,SFP-ah4,3,1,0.2067,0.0058
square,SFP-ah4,3,1.25,0.1233,0.0252
square,SFP-ah4,3,1.5,0.0567,0.0058
square,SFP-ah2,1,0,0.6900,0.0000
square,SFP-ah2,1,0.1,0.6800,0.0000
square,SFP-ah2,1,0.25,0.5500,0.0000
square,SFP-ah2,1,0.3,0.5000,0.0000
square,SFP-ah2,1,0.5,0.3900,0.0000
square,SFP-ah2,1,0.75,0.2900,0.0000
square,SFP-ah2,1,1,0.1300,0.0000
square,SFP-ah2,1,1.25,0.1000,0.0000
square,SFP-ah2,1,1.5,0.0500,0.0000
square,SFP-1step,3,0,0.6333,0.0569
square,SFP-1step,3,0.1,0.5633,0.0306
square,SFP-1step,3,0.25,0.5167,0.0404
square,SFP-1step,3,0.3,0.4867,0.0416
square,SFP-1step,3,0.5,0.3633,0.0058
square,SFP-1step,3,0.75,0.2700,0.0200
square,SFP-1step,3,1,0.1900,0.0436
square,SFP-1step,3,1.25,0.0967,0.0208
square,SFP-1step,3,1.5,0.0467,0.0153
square,CL-SFP,3,0,0.7400,0.0529
square,CL-SFP,3,0.1,0.7167,0.0503
square,CL-SFP,3,0.25,0.6467,0.0306
square,CL-SFP,3,0.3,0.6300,0.0100
square,CL-SFP,3,0.5,0.4733,0.0153
square,CL-SFP,3,0.75,0.2733,0.0321
square,CL-SFP,3,1,0.1767,0.0551
square,CL-SFP,3,1.25,0.1067,0.0321
square,CL-SFP,3,1.5,0.0533,0.0115
square,CL-SFP+i,3,0,0.8000,0.0624
square,CL-SFP+i,3,0.1,0.7433,0.0306
square,CL-SFP+i,3,0.25,0.7167,0.0569
square,CL-SFP+i,3,0.3,0.6700,0.0794
square,CL-SFP+i,3,0.5,0.5433,0.0252
square,CL-SFP+i,3,0.75,0.3467,0.0208
square,CL-SFP+i,3,1,0.2100,0.0100
square,CL-SFP+i,3,1.25,0.1400,0.0173
square,CL-SFP+i,3,1.5,0.0867,0.0252
